,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
7125219495,7/9/2014,,8/19/2015,,7/9/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7177006216,6/13/2014,,8/19/2015,,6/13/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108121189,2015-04-03;2015-05-01;2015-05-01,2015-04-27;2015-05-01,8/19/2015,24,4/3/2015,5/1/2015,5/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/27/2015,5/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9851390076,7/4/2015,7/24/2015,8/19/2015,20,7/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023340127,2015-06-14;2015-07-14,2015-07-04;2015-08-15,8/19/2015,20,6/14/2015,7/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/4/2015,8/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5476885599,11/6/2014,,8/19/2015,,11/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838116247,2015-03-28;2015-04-13;2015-04-20;2015-04-28;2015-05-15;2015-06-30;2015-07-22;2015-08-05,2015-04-13;2015-04-20;2015-04-28;2015-05-15;2015-06-05;2015-07-21;2015-08-05,8/19/2015,16,3/28/2015,4/13/2015,4/20/2015,4/28/2015,5/15/2015,6/30/2015,7/22/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,4/13/2015,4/20/2015,4/28/2015,5/15/2015,6/5/2015,7/21/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,
4228136505,2015-05-22;2015-06-03;2015-08-19,2015-05-28;2015-06-12,8/19/2015,6,5/22/2015,6/3/2015,8/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/28/2015,6/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4881579468,5/7/2015,,8/19/2015,,5/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316512614,8/25/2014,,8/19/2015,,8/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191686819,2015-03-19;2015-04-16,4/13/2015,8/19/2015,25,3/19/2015,4/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9923610654,2015-03-30;2015-04-09;2015-04-10;2015-04-16;2015-04-24;2015-05-02;2015-05-16;2015-06-08;2015-06-18;2015-06-24;2015-07-13;2015-07-24;2015-08-16,2015-04-06;2015-04-10;2015-04-15;2015-04-17;2015-05-02;2015-05-15;2015-06-07;2015-06-18;2015-06-24;2015-07-11;2015-07-24;2015-08-16,8/19/2015,7,3/30/2015,4/9/2015,4/10/2015,4/16/2015,4/24/2015,5/2/2015,5/16/2015,6/8/2015,6/18/2015,6/24/2015,7/13/2015,7/24/2015,8/16/2015,,,,,,,,,,,,,,,,,,,,,4/6/2015,4/10/2015,4/15/2015,4/17/2015,5/2/2015,5/15/2015,6/7/2015,6/18/2015,6/24/2015,7/11/2015,7/24/2015,8/16/2015,,,,,,,,,,,,,,,,,,,,
8484461796,2015-05-27;2015-06-12;2015-07-01;2015-07-24;2015-08-16,2015-06-09;2015-07-01;2015-07-22;2015-08-15,8/19/2015,13,5/27/2015,6/12/2015,7/1/2015,7/24/2015,8/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/9/2015,7/1/2015,7/22/2015,8/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8237091184,2015-07-23;2015-07-30,7/30/2015,8/19/2015,7,7/23/2015,7/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801624265,5/20/2015,,8/19/2015,,5/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3805746294,7/22/2015,,8/19/2015,,7/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7386434289,12/24/2014,,8/19/2015,,12/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5213679097,7/28/2015,,8/19/2015,,7/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4387253723,7/21/2015,,8/19/2015,,7/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8362192538,8/7/2014,,8/19/2015,,8/7/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9523062306,3/12/2015,,8/19/2015,,3/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535099359,5/16/2014,,8/19/2015,,5/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8719891162,8/14/2014,10/14/2014,8/19/2015,61,8/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716039696,2015-07-19;2015-08-05;2015-08-11,2015-08-05;2015-08-11,8/19/2015,17,7/19/2015,8/5/2015,8/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/5/2015,8/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8763192932,8/13/2014,,8/19/2015,,8/13/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150642238,2015-03-29;2015-04-20;2015-06-25;2015-07-17,2015-04-20;2015-06-06;2015-07-17,8/19/2015,22,3/29/2015,4/20/2015,6/25/2015,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/20/2015,6/6/2015,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6207451939,2015-04-01;2015-04-21;2015-05-06;2015-06-03;2015-07-02,2015-04-21;2015-05-06;2015-06-02;2015-07-02;2015-07-31,8/19/2015,20,4/1/2015,4/21/2015,5/6/2015,6/3/2015,7/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/21/2015,5/6/2015,6/2/2015,7/2/2015,7/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476099889,2015-03-02;2015-03-20;2015-04-03;2015-04-12;2015-04-28;2015-05-12;2015-06-03;2015-06-21;2015-07-10;2015-08-12,2015-03-20;2015-04-03;2015-04-12;2015-04-28;2015-05-12;2015-06-02;2015-06-20;2015-07-10;2015-07-31,8/19/2015,18,3/2/2015,3/20/2015,4/3/2015,4/12/2015,4/28/2015,5/12/2015,6/3/2015,6/21/2015,7/10/2015,8/12/2015,,,,,,,,,,,,,,,,,,,,,,,,3/20/2015,4/3/2015,4/12/2015,4/28/2015,5/12/2015,6/2/2015,6/20/2015,7/10/2015,7/31/2015,,,,,,,,,,,,,,,,,,,,,,,
3282108906,2015-05-16;2015-06-06;2015-06-27;2015-07-18;2015-08-08,2015-06-06;2015-06-27;2015-07-18;2015-08-08,8/19/2015,21,5/16/2015,6/6/2015,6/27/2015,7/18/2015,8/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2015,6/27/2015,7/18/2015,8/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8171435807,3/4/2015,,8/19/2015,,3/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640166679,2015-07-29;2015-08-13,8/13/2015,8/19/2015,15,7/29/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429479218,2015-04-12;2015-05-03;2015-06-16;2015-07-07;2015-07-31;2015-08-18,2015-05-03;2015-05-24;2015-07-07;2015-07-28;2015-08-17,8/19/2015,21,4/12/2015,5/3/2015,6/16/2015,7/7/2015,7/31/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/3/2015,5/24/2015,7/7/2015,7/28/2015,8/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412688377,6/20/2015,,8/19/2015,,6/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5747178338,2015-02-16;2015-05-24;2015-06-14;2015-07-21;2015-08-09,2015-03-09;2015-06-07;2015-07-18;2015-08-05,8/19/2015,21,2/16/2015,5/24/2015,6/14/2015,7/21/2015,8/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/9/2015,6/7/2015,7/18/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8594242129,2015-07-25;2015-08-15,8/13/2015,8/19/2015,19,7/25/2015,8/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6617821797,2015-05-30;2015-06-09;2015-06-26,2015-06-01;2015-06-23;2015-07-17,8/19/2015,2,5/30/2015,6/9/2015,6/26/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/2015,6/23/2015,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778121349,5/28/2015,,8/19/2015,,5/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7331238292,2015-04-27;2015-05-09;2015-05-13;2015-05-26;2015-06-15;2015-07-06;2015-07-17;2015-07-31;2015-08-18,2015-05-09;2015-05-13;2015-05-25;2015-06-15;2015-07-05;2015-07-17;2015-07-31;2015-08-14,8/19/2015,12,4/27/2015,5/9/2015,5/13/2015,5/26/2015,6/15/2015,7/6/2015,7/17/2015,7/31/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,5/9/2015,5/13/2015,5/25/2015,6/15/2015,7/5/2015,7/17/2015,7/31/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,
3331565180,2015-05-29;2015-06-15;2015-06-25,2015-06-15;2015-06-25,8/19/2015,17,5/29/2015,6/15/2015,6/25/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/15/2015,6/25/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6094242225,7/27/2015,,8/19/2015,,7/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7743920692,2015-07-02;2015-07-18,7/16/2015,8/19/2015,14,7/2/2015,7/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6430736429,2015-07-13;2015-08-12,7/30/2015,8/19/2015,17,7/13/2015,8/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511522687,2015-03-22;2015-04-08;2015-04-18,2015-04-04;2015-04-18,8/19/2015,13,3/22/2015,4/8/2015,4/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/4/2015,4/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7614759494,7/19/2015,,8/19/2015,,7/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662659101,8/13/2014,,8/19/2015,,8/13/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127719079,2015-05-04;2015-05-09;2015-06-12;2015-07-11;2015-08-06,2015-05-06;2015-06-04;2015-07-05;2015-08-04,8/19/2015,2,5/4/2015,5/9/2015,6/12/2015,7/11/2015,8/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/6/2015,6/4/2015,7/5/2015,8/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9254134796,2015-06-21;2015-07-15;2015-08-04,2015-07-15;2015-08-04,8/19/2015,24,6/21/2015,7/15/2015,8/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/15/2015,8/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661126978,2015-07-10;2015-08-07,2015-07-31;2015-08-13,8/19/2015,21,7/10/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198273826,11/24/2014,,8/19/2015,,11/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602567513,2015-04-26;2015-05-06;2015-05-08;2015-05-30;2015-06-18;2015-06-28;2015-07-14;2015-08-02,2015-05-06;2015-05-08;2015-05-30;2015-06-18;2015-06-28;2015-07-13;2015-08-02,8/19/2015,10,4/26/2015,5/6/2015,5/8/2015,5/30/2015,6/18/2015,6/28/2015,7/14/2015,8/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,5/6/2015,5/8/2015,5/30/2015,6/18/2015,6/28/2015,7/13/2015,8/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,
7493785209,2015-03-19;2015-04-08,2015-04-06;2015-04-27,8/19/2015,18,3/19/2015,4/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/6/2015,4/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9149555649,2015-02-20;2015-03-06;2015-03-17;2015-04-08;2015-04-26;2015-05-20;2015-06-03;2015-06-17;2015-06-27;2015-07-05;2015-07-18;2015-08-10;2015-08-18,2015-03-06;2015-03-17;2015-04-07;2015-04-26;2015-05-15;2015-06-03;2015-06-17;2015-06-27;2015-07-05;2015-07-18;2015-08-09;2015-08-18,8/19/2015,14,2/20/2015,3/6/2015,3/17/2015,4/8/2015,4/26/2015,5/20/2015,6/3/2015,6/17/2015,6/27/2015,7/5/2015,7/18/2015,8/10/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,3/6/2015,3/17/2015,4/7/2015,4/26/2015,5/15/2015,6/3/2015,6/17/2015,6/27/2015,7/5/2015,7/18/2015,8/9/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,
2696051892,2015-07-19;2015-08-02,8/2/2015,8/19/2015,14,7/19/2015,8/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7289370646,2015-06-01;2015-06-24;2015-07-23,2015-06-23;2015-07-22,8/19/2015,22,6/1/2015,6/24/2015,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/23/2015,7/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4724843699,7/17/2015,8/7/2015,8/19/2015,21,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5665931957,2015-06-16;2015-07-03;2015-07-21;2015-08-13,2015-07-03;2015-07-21;2015-08-12,8/19/2015,17,6/16/2015,7/3/2015,7/21/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/3/2015,7/21/2015,8/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782793085,2015-02-17;2015-02-25;2015-03-04;2015-03-18;2015-04-14;2015-05-13;2015-06-13;2015-07-13,2015-02-24;2015-03-04;2015-03-18;2015-04-13;2015-05-13;2015-06-13;2015-07-13,8/19/2015,7,2/17/2015,2/25/2015,3/4/2015,3/18/2015,4/14/2015,5/13/2015,6/13/2015,7/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,2/24/2015,3/4/2015,3/18/2015,4/13/2015,5/13/2015,6/13/2015,7/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,
2422995126,2015-03-23;2015-05-04,2015-04-21;2015-07-09,8/19/2015,29,3/23/2015,5/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/21/2015,7/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7091985427,2015-03-31;2015-04-14;2015-04-24;2015-05-13;2015-05-26;2015-06-25;2015-07-28;2015-08-18,2015-04-13;2015-04-24;2015-05-13;2015-05-26;2015-06-25;2015-07-26;2015-08-18,8/19/2015,13,3/31/2015,4/14/2015,4/24/2015,5/13/2015,5/26/2015,6/25/2015,7/28/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,4/13/2015,4/24/2015,5/13/2015,5/26/2015,6/25/2015,7/26/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,
5868139297,2014-07-18;2014-08-05;2014-10-10,2014-08-05;2014-10-09,8/19/2015,18,7/18/2014,8/5/2014,10/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/5/2014,10/9/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8460627016,2015-03-30;2015-04-14;2015-04-30,2015-04-14;2015-04-28,8/19/2015,15,3/30/2015,4/14/2015,4/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/14/2015,4/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5108315568,2014-07-30;2014-09-13;2014-09-29;2014-11-03,2014-08-30;2014-09-27;2014-10-31,8/19/2015,31,7/30/2014,9/13/2014,9/29/2014,11/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/30/2014,9/27/2014,10/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126578428,2015-02-05;2015-02-26;2015-03-20;2015-04-11;2015-05-02;2015-05-25;2015-06-16;2015-07-07;2015-07-28;2015-08-13,2015-02-26;2015-03-19;2015-04-10;2015-05-02;2015-05-25;2015-06-16;2015-07-07;2015-07-28;2015-08-13,8/19/2015,21,2/5/2015,2/26/2015,3/20/2015,4/11/2015,5/2/2015,5/25/2015,6/16/2015,7/7/2015,7/28/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,2/26/2015,3/19/2015,4/10/2015,5/2/2015,5/25/2015,6/16/2015,7/7/2015,7/28/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,
3294533408,2014-09-24;2014-10-10;2014-10-27;2014-11-07;2014-11-17;2014-11-24;2014-12-01;2014-12-10;2014-12-19;2014-12-23;2015-01-01;2015-01-08;2015-01-19;2015-01-29;2015-02-06;2015-02-19;2015-03-05;2015-03-12;2015-03-21;2015-03-28;2015-04-07;2015-04-15;2015-05-01;2015-05-10;2015-05-17;2015-05-28;2015-06-06;2015-06-13;2015-06-21;2015-06-30;2015-07-09;2015-07-24;2015-08-01,2014-10-10;2014-10-27;2014-11-07;2014-11-17;2014-11-24;2014-12-01;2014-12-10;2014-12-19;2014-12-23;2015-01-01;2015-01-08;2015-01-18;2015-01-29;2015-02-06;2015-02-18;2015-03-05;2015-03-12;2015-03-21;2015-03-28;2015-04-04;2015-04-15;2015-05-01;2015-05-10;2015-05-17;2015-05-28;2015-06-06;2015-06-13;2015-06-21;2015-06-28;2015-07-09;2015-07-24;2015-08-01,8/19/2015,16,9/24/2014,10/10/2014,10/27/2014,11/7/2014,11/17/2014,11/24/2014,12/1/2014,12/10/2014,12/19/2014,12/23/2014,1/1/2015,1/8/2015,1/19/2015,1/29/2015,2/6/2015,2/19/2015,3/5/2015,3/12/2015,3/21/2015,3/28/2015,4/7/2015,4/15/2015,5/1/2015,5/10/2015,5/17/2015,5/28/2015,6/6/2015,6/13/2015,6/21/2015,6/30/2015,7/9/2015,7/24/2015,8/1/2015,10/10/2014,10/27/2014,11/7/2014,11/17/2014,11/24/2014,12/1/2014,12/10/2014,12/19/2014,12/23/2014,1/1/2015,1/8/2015,1/18/2015,1/29/2015,2/6/2015,2/18/2015,3/5/2015,3/12/2015,3/21/2015,3/28/2015,4/4/2015,4/15/2015,5/1/2015,5/10/2015,5/17/2015,5/28/2015,6/6/2015,6/13/2015,6/21/2015,6/28/2015,7/9/2015,7/24/2015,8/1/2015
5212256963,2015-06-19;2015-07-04;2015-07-14,2015-06-26;2015-07-14,8/19/2015,7,6/19/2015,7/4/2015,7/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/26/2015,7/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201754709,2015-02-27;2015-03-17;2015-03-24;2015-04-02;2015-04-22;2015-05-08;2015-06-04;2015-07-02,2015-03-17;2015-03-24;2015-03-31;2015-04-22;2015-05-08;2015-06-04;2015-07-02,8/19/2015,18,2/27/2015,3/17/2015,3/24/2015,4/2/2015,4/22/2015,5/8/2015,6/4/2015,7/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,3/17/2015,3/24/2015,3/31/2015,4/22/2015,5/8/2015,6/4/2015,7/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,
1892120669,2015-06-04;2015-07-08,2015-06-26;2015-08-02,8/19/2015,22,6/4/2015,7/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/26/2015,8/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2258471198,2015-05-06;2015-05-23;2015-06-07;2015-06-29;2015-07-17;2015-08-14,2015-05-23;2015-06-06;2015-06-27;2015-07-17;2015-08-07,8/19/2015,17,5/6/2015,5/23/2015,6/7/2015,6/29/2015,7/17/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/23/2015,6/6/2015,6/27/2015,7/17/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724136679,2015-03-04;2015-03-19;2015-04-09;2015-04-24,2015-03-19;2015-04-09;2015-04-24,8/19/2015,15,3/4/2015,3/19/2015,4/9/2015,4/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/19/2015,4/9/2015,4/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5777469792,2014-09-23;2014-10-15,10/14/2014,8/19/2015,21,9/23/2014,10/15/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911454239,6/1/2014,,8/19/2015,,6/1/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3640580591,2015-02-18;2015-03-10,3/10/2015,8/19/2015,20,2/18/2015,3/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932568661,2015-07-07;2015-07-21;2015-08-08;2015-08-18,2015-07-21;2015-08-08;2015-08-18,8/19/2015,14,7/7/2015,7/21/2015,8/8/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/21/2015,8/8/2015,8/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925828638,2015-05-24;2015-06-12,6/12/2015,8/19/2015,19,5/24/2015,6/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104389006,2015-06-10;2015-07-19;2015-08-08,2015-07-10;2015-08-08,8/19/2015,30,6/10/2015,7/19/2015,8/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/10/2015,8/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974671365,2015-03-04;2015-04-27;2015-06-23;2015-07-22,2015-04-21;2015-06-23;2015-07-21,8/19/2015,48,3/4/2015,4/27/2015,6/23/2015,7/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/21/2015,6/23/2015,7/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4088430688,8/8/2014,,8/19/2015,,8/8/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9517700838,4/9/2015,,8/19/2015,,4/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6408292681,2015-06-27;2015-07-20,7/18/2015,8/19/2015,21,6/27/2015,7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396948561,12/3/2014,,8/19/2015,,12/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5809370917,7/23/2015,,8/19/2015,,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011938779,2015-03-07;2015-03-11,3/11/2015,8/19/2015,4,3/7/2015,3/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9562149901,2015-04-24;2015-05-20;2015-07-17;2015-08-06,2015-05-15;2015-06-10;2015-08-06,8/19/2015,21,4/24/2015,5/20/2015,7/17/2015,8/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/15/2015,6/10/2015,8/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5537661525,2015-03-27;2015-04-08,4/3/2015,8/19/2015,7,3/27/2015,4/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537018341,2014-08-13;2014-09-20;2014-10-11,2014-09-20;2014-10-11,8/19/2015,38,8/13/2014,9/20/2014,10/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2014,10/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7073326976,2015-06-02;2015-06-08;2015-06-24;2015-07-08,2015-06-08;2015-06-24;2015-07-08;2015-07-24,8/19/2015,6,6/2/2015,6/8/2015,6/24/2015,7/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/8/2015,6/24/2015,7/8/2015,7/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6825768883,2015-06-15;2015-07-04;2015-08-04,2015-07-03;2015-08-01,8/19/2015,18,6/15/2015,7/4/2015,8/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/3/2015,8/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
